Node Number,x,y,z,Dynamic Pressure
9975.0,0.088,0.119,0.0,32.0
10772.0,0.099,0.119,0.0,38.3
11610.0,0.109,0.119,0.0,43.9
12490.0,0.119,0.119,0.0,49.2
13413.0,0.129,0.119,0.0,54.7
14380.0,0.139,0.119,0.0,60.7
15392.0,0.15,0.119,0.0,66.4
16450.0,0.16,0.119,0.0,70.3
17555.0,0.17,0.119,0.0,70.7
18708.0,0.18,0.119,0.0,67.1
19910.0,0.19,0.119,0.0,60.2
21162.0,0.201,0.119,0.0,51.4
22465.0,0.211,0.119,0.0,42.1
23820.0,0.221,0.119,0.0,33.2
25224.0,0.231,0.119,0.0,25.3
26670.0,0.241,0.119,0.0,18.6
9975.0,0.259,0.119,0.0,32.0
10772.0,0.269,0.119,0.0,38.3
11610.0,0.279,0.119,0.0,43.9
12490.0,0.289,0.119,0.0,49.2
13413.0,0.299,0.119,0.0,54.7
14380.0,0.309,0.119,0.0,60.7
15392.0,0.32,0.119,0.0,66.4
16450.0,0.33,0.119,0.0,70.3
17555.0,0.34,0.119,0.0,70.7
18708.0,0.35,0.119,0.0,67.1
19910.0,0.361,0.119,0.0,60.2
21162.0,0.371,0.119,0.0,51.4
22465.0,0.381,0.119,0.0,42.1
23820.0,0.391,0.119,0.0,33.2
25224.0,0.401,0.119,0.0,25.3
26670.0,0.412,0.119,0.0,18.6
28158.0,0.422,0.119,0.0,13.2
29686.0,0.432,0.119,0.0,9.17
31252.0,0.442,0.119,0.0,6.25
32854.0,0.452,0.119,0.0,4.23
34490.0,0.463,0.119,0.0,2.85
36158.0,0.473,0.119,0.0,1.91
37856.0,0.483,0.119,0.0,1.24
39582.0,0.493,0.119,0.0,0.765
5448.0,0.007,0.129,0.0,1.46
5985.0,0.017,0.129,0.0,2.42
6556.0,0.027,0.129,0.0,3.89
7162.0,0.037,0.129,0.0,6.14
7804.0,0.048,0.129,0.0,9.49
8483.0,0.058,0.129,0.0,14.2
9200.0,0.068,0.129,0.0,20.5
9956.0,0.078,0.129,0.0,27.9
10752.0,0.088,0.129,0.0,36.0
11589.0,0.099,0.129,0.0,44.2
12468.0,0.109,0.129,0.0,51.9
13390.0,0.119,0.129,0.0,59.3
14356.0,0.129,0.129,0.0,66.5
15367.0,0.139,0.129,0.0,73.8
16424.0,0.15,0.129,0.0,80.1
17528.0,0.16,0.129,0.0,83.7
18680.0,0.17,0.129,0.0,82.9
19881.0,0.18,0.129,0.0,77.3
21132.0,0.19,0.129,0.0,68.2
22434.0,0.201,0.129,0.0,57.5
23788.0,0.211,0.129,0.0,46.5
25191.0,0.221,0.129,0.0,36.2
26636.0,0.231,0.129,0.0,27.2
28123.0,0.241,0.129,0.0,19.8
10752.0,0.259,0.129,0.0,36.0
11589.0,0.269,0.129,0.0,44.2
12468.0,0.279,0.129,0.0,51.9
13390.0,0.289,0.129,0.0,59.3
14356.0,0.299,0.129,0.0,66.5
15367.0,0.309,0.129,0.0,73.8
16424.0,0.32,0.129,0.0,80.1
17528.0,0.33,0.129,0.0,83.7
18680.0,0.34,0.129,0.0,82.9
19881.0,0.35,0.129,0.0,77.3
21132.0,0.361,0.129,0.0,68.2
22434.0,0.371,0.129,0.0,57.5
23788.0,0.381,0.129,0.0,46.5
25191.0,0.391,0.129,0.0,36.2
26636.0,0.401,0.129,0.0,27.2
28123.0,0.412,0.129,0.0,19.8
29650.0,0.422,0.129,0.0,14.0
31215.0,0.432,0.129,0.0,9.62
32816.0,0.442,0.129,0.0,6.54
34451.0,0.452,0.129,0.0,4.43
36118.0,0.463,0.129,0.0,3.0
37815.0,0.473,0.129,0.0,2.02
39540.0,0.483,0.129,0.0,1.32
41291.0,0.493,0.129,0.0,0.818
5973.0,0.007,0.139,0.0,1.36
6543.0,0.017,0.139,0.0,2.27
7148.0,0.027,0.139,0.0,3.68
7789.0,0.037,0.139,0.0,5.87
8467.0,0.048,0.139,0.0,9.19
9183.0,0.058,0.139,0.0,14.0
9938.0,0.068,0.139,0.0,20.6
10733.0,0.078,0.139,0.0,28.8
11569.0,0.088,0.139,0.0,38.3
12447.0,0.099,0.139,0.0,48.3
13368.0,0.109,0.139,0.0,58.4
14333.0,0.119,0.139,0.0,68.1
15343.0,0.129,0.139,0.0,77.4
16399.0,0.139,0.139,0.0,86.0
17502.0,0.15,0.139,0.0,92.8
18653.0,0.16,0.139,0.0,96.0
19853.0,0.17,0.139,0.0,94.3
21103.0,0.18,0.139,0.0,87.6
22404.0,0.19,0.139,0.0,77.1
23757.0,0.201,0.139,0.0,64.8
25159.0,0.211,0.139,0.0,52.2
26603.0,0.221,0.139,0.0,40.5
28089.0,0.231,0.139,0.0,30.2
29615.0,0.241,0.139,0.0,21.8
11569.0,0.259,0.139,0.0,38.3
12447.0,0.269,0.139,0.0,48.3
13368.0,0.279,0.139,0.0,58.4
14333.0,0.289,0.139,0.0,68.1
15343.0,0.299,0.139,0.0,77.4
16399.0,0.309,0.139,0.0,86.0
17502.0,0.32,0.139,0.0,92.8
18653.0,0.33,0.139,0.0,96.0
19853.0,0.34,0.139,0.0,94.3
21103.0,0.35,0.139,0.0,87.6
22404.0,0.361,0.139,0.0,77.1
23757.0,0.371,0.139,0.0,64.8
25159.0,0.381,0.139,0.0,52.2
26603.0,0.391,0.139,0.0,40.5
