x,y,z,dynamic pressure
0.0,0.14,0.15,0.133
0.0,0.14,0.16,0.132
0.0,0.14,0.17,0.13
0.0,0.14,0.18,0.127
0.0,0.14,0.19,0.124
0.0,0.14,0.2,0.12
0.0,0.14,0.21,0.116
0.0,0.14,0.22,0.112
0.0,0.14,0.23,0.108
0.0,0.14,0.24,0.104
0.0,0.14,0.25,0.0998
0.0,0.14,0.26,0.096
0.0,0.14,0.27,0.0924
0.0,0.14,0.28,0.089
0.0,0.14,0.29,0.0859
0.0,0.14,0.3,0.0831
0.0,0.14,0.31,0.0807
0.0,0.14,0.32,0.0787
0.0,0.14,0.33,0.0771
0.0,0.14,0.34,0.0759
0.0,0.14,0.35000000000000003,0.0751
0.0,0.14,0.36,0.0747
0.0,0.14,0.37,0.0746
0.0,0.14,0.38,0.0748
0.0,0.14,0.39,0.0753
0.0,0.14,0.4,0.0759
0.0,0.14,0.41000000000000003,0.0766
0.0,0.14,0.42,0.0774
0.0,0.14,0.43,0.0781
0.0,0.14,0.44,0.0786
0.0,0.14,0.45,0.0788
0.0,0.14,0.46,0.0787
0.0,0.14,0.47000000000000003,0.0782
0.0,0.14,0.48,0.0773
0.0,0.14,0.49,0.0767
0.0,0.15,0.0,0.000691
0.0,0.15,0.01,0.00211
0.0,0.15,0.02,0.0079
0.0,0.15,0.03,0.0184
0.0,0.15,0.04,0.0328
0.0,0.15,0.05,0.0498
0.0,0.15,0.06,0.0679
0.0,0.15,0.07,0.0862
0.0,0.15,0.08,0.104
0.0,0.15,0.09,0.119
0.0,0.15,0.1,0.132
0.0,0.15,0.11,0.142
0.0,0.15,0.12,0.148
0.0,0.15,0.13,0.152
0.0,0.15,0.14,0.153
0.0,0.15,0.15,0.151
0.0,0.15,0.16,0.149
0.0,0.15,0.17,0.145
0.0,0.15,0.18,0.141
0.0,0.15,0.19,0.137
0.0,0.15,0.2,0.132
0.0,0.15,0.21,0.127
0.0,0.15,0.22,0.123
0.0,0.15,0.23,0.118
0.0,0.15,0.24,0.113
0.0,0.15,0.25,0.109
0.0,0.15,0.26,0.105
0.0,0.15,0.27,0.101
0.0,0.15,0.28,0.0971
0.0,0.15,0.29,0.0939
0.0,0.15,0.3,0.091
0.0,0.15,0.31,0.0885
0.0,0.15,0.32,0.0865
0.0,0.15,0.33,0.0848
0.0,0.15,0.34,0.0837
0.0,0.15,0.35000000000000003,0.083
0.0,0.15,0.36,0.0827
0.0,0.15,0.37,0.0827
0.0,0.15,0.38,0.0832
0.0,0.15,0.39,0.0839
0.0,0.15,0.4,0.0848
0.0,0.15,0.41000000000000003,0.0858
0.0,0.15,0.42,0.0868
0.0,0.15,0.43,0.0878
0.0,0.15,0.44,0.0887
0.0,0.15,0.45,0.0892
0.0,0.15,0.46,0.0893
0.0,0.15,0.47000000000000003,0.0888
0.0,0.15,0.48,0.0877
0.0,0.15,0.49,0.087
0.0,0.16,0.0,0.000923
0.0,0.16,0.01,0.00282
0.0,0.16,0.02,0.0104
0.0,0.16,0.03,0.0242
0.0,0.16,0.04,0.0428
0.0,0.16,0.05,0.0644
0.0,0.16,0.06,0.0868
0.0,0.16,0.07,0.109
